freq	spws	flux	ferr	rms	snr	mjd
197.95	7_16_19_21	0.4934	0.0324	0.0229	15.228	60612.11853499999
336.5	5_7_9_11	0.3076	0.0284	0.0201	10.831	60612.13862944443
197.95	7_16_19_21	0.4859	0.0351	0.0248	13.843	60622.06293111111
336.5	5_7_9_11	0.3263	0.0267	0.0188	12.221	60622.09038055556
197.95	7_16_19_21	0.1688	0.0358	0.0253	4.715	60650.04797999999
336.5	5_7_9_11	0.1029	0.0279	0.0197	3.688	60650.06891388889
90.5	5_7_9_11	1.0922	0.0268	0.0190	40.754	60622.04758
90.5	5_7_9_11	1.2651	0.0215	0.0152	58.842	60615.089901111125
90.5	5_7_9_11	0.1119	0.0369	0.0261	3.033	60691.88148777778
90.5	5_7_9_11	0.3552	0.022	0.0155	16.145	60650.03356888889
