#freq	spws	band	flux	ferr	rms	snr	MJD	epoch
12.360	3439	Ku	0.2564	0.0291	0.0206	8.811	60608.27885416665	A
13.128	4045	Ku	0.2728	0.0163	0.0115	16.736	60608.27885416665	A
13.872	4651	Ku	0.2726	0.0173	0.0122	15.757	60608.27885416665	A
14.616	5257	Ku	0.2943	0.0137	0.0096	21.482	60608.27885416665	A
15.384	5863	Ku	0.2816	0.0153	0.0108	18.405	60608.27885416665	A
16.128	6469	Ku	0.3188	0.0176	0.0125	18.114	60608.27885416665	A
16.872	7075	Ku	0.3049	0.0167	0.0118	18.257	60608.27885416665	A
17.640	7681	Ku	0.3263	0.023	0.0163	14.187	60608.27885416665	A
23.512	1017	K	0.5896	0.0258	0.0182	22.853	60612.269293981495	B
24.488	1825	K	0.5603	0.0226	0.0159	24.792	60612.269293981495	B
25.512	2633	K	0.5783	0.0247	0.0175	23.413	60612.269293981495	B
22.488	29	K	0.5113	0.0303	0.0214	16.875	60612.269293981495	B
18.488	3441	K	0.4871	0.0254	0.0179	19.177	60612.269293981495	B
19.512	4249	K	0.4709	0.026	0.0184	18.112	60612.269293981495	B
20.488	5057	K	0.5136	0.0261	0.0184	19.678	60612.269293981495	B
21.512	5865	K	0.4868	0.0344	0.0243	14.151	60612.269293981495	B
12.360	3439	Ku	0.6173	0.0331	0.0235	18.65	60623.22809027779	C
13.128	4045	Ku	0.6899	0.0233	0.0166	29.609	60623.22809027779	C
13.872	4651	Ku	0.7418	0.0207	0.0146	35.836	60623.22809027779	C
14.616	5257	Ku	0.8365	0.0219	0.0156	38.196	60623.22809027779	C
15.384	5863	Ku	0.8448	0.0266	0.0189	31.759	60623.22809027779	C
16.128	6469	Ku	0.9304	0.0237	0.0168	39.257	60623.22809027779	C
16.872	7075	Ku	0.9277	0.0234	0.0166	39.645	60623.22809027779	C
17.640	7681	Ku	0.9408	0.0338	0.0240	27.834	60623.22809027779	C
25.513	106113	K	1.3245	0.0419	0.0297	31.611	60623.24153935184	C
18.488	114121	K	0.9512	0.0267	0.0189	35.625	60623.24153935184	C
19.512	122129	K	1.0793	0.0262	0.0185	41.195	60623.24153935184	C
20.488	130137	K	1.0925	0.0253	0.0179	43.182	60623.24153935184	C
21.512	138145	K	1.1929	0.0339	0.0240	35.189	60623.24153935184	C
22.489	8289	K	1.215	0.0286	0.0202	42.483	60623.24153935184	C
23.513	9097	K	1.2278	0.0424	0.0300	28.958	60623.24153935184	C
24.489	98105	K	1.2389	0.0459	0.0325	26.991	60623.24153935184	C
33.489	146153	Ka	1.4885	0.0499	0.0354	29.83	60623.26234953705	C
34.513	154161	Ka	1.4648	0.0497	0.0353	29.473	60623.26234953705	C
35.489	162169	Ka	1.4363	0.0412	0.0293	34.862	60623.26234953705	C
36.513	170177	Ka	1.5355	0.0499	0.0354	30.772	60623.26234953705	C
29.489	178185	Ka	1.4142	0.0459	0.0325	30.81	60623.26234953705	C
30.513	186193	Ka	1.4413	0.0485	0.0344	29.718	60623.26234953705	C
31.489	194201	Ka	1.4364	0.052	0.0369	27.623	60623.26234953705	C
32.513	202209	Ka	1.3634	0.0494	0.0350	27.599	60623.26234953705	C
9.256	1013	X	0.8143	0.0233	0.0164	34.948	60650.218460648146	D
9.768	1417	X	0.8739	0.0198	0.0140	44.136	60650.218460648146	D
10.232	1821	X	0.9105	0.0302	0.0213	30.149	60650.218460648146	D
10.744	2225	X	0.9273	0.0236	0.0167	39.292	60650.218460648146	D
8.232	25	X	0.7178	0.029	0.0205	24.752	60650.218460648146	D
11.256	2629	X	0.9698	0.0281	0.0199	34.512	60650.218460648146	D
11.768	3033	X	1.0283	0.0361	0.0255	28.485	60650.218460648146	D
8.744	69	X	0.7705	0.0259	0.0183	29.749	60650.218460648146	D
12.360	3439	Ku	1.0411	0.0319	0.0227	32.636	60650.20512731482	D
13.128	4045	Ku	1.0064	0.0286	0.0203	35.189	60650.20512731482	D
13.872	4651	Ku	1.0837	0.0328	0.0233	33.04	60650.20512731482	D
14.617	5257	Ku	1.0587	0.0377	0.0268	28.082	60650.20512731482	D
15.385	5863	Ku	1.1079	0.0376	0.0267	29.465	60650.20512731482	D
16.129	6469	Ku	1.0678	0.0405	0.0287	26.365	60650.20512731482	D
16.873	7075	Ku	1.1365	0.0293	0.0208	38.788	60650.20512731482	D
17.641	7681	Ku	1.0993	0.0593	0.0421	18.538	60650.20512731482	D
25.514	106113	K	0.8108	0.0635	0.0449	12.769	60650.18554398149	D
18.489	114121	K	1.0932	0.0364	0.0258	30.033	60650.18554398149	D
19.513	122129	K	1.1026	0.0422	0.0299	26.128	60650.18554398149	D
20.489	130137	K	1.0374	0.0473	0.0334	21.932	60650.18554398149	D
21.513	138145	K	1.0269	0.0544	0.0385	18.877	60650.18554398149	D
22.489	8289	K	0.9088	0.0504	0.0357	18.032	60650.18554398149	D
23.513	9097	K	0.9655	0.0596	0.0422	16.2	60650.18554398149	D
24.490	98105	K	0.9016	0.0428	0.0303	21.065	60650.18554398149	D
33.490	146153	Ka	0.5988	0.0452	0.0321	13.248	60650.159479166665	D
34.515	154161	Ka	0.6771	0.0566	0.0402	11.963	60650.159479166665	D
35.491	162169	Ka	0.6259	0.0565	0.0401	11.078	60650.159479166665	D
36.515	170177	Ka	0.6075	0.0671	0.0476	9.054	60650.159479166665	D
29.49	178185	Ka	0.7372	0.046	0.0327	16.026	60650.159479166665	D
30.514	186193	Ka	0.7396	0.0463	0.0328	15.974	60650.159479166665	D
31.49	194201	Ka	0.6447	0.0629	0.0446	10.25	60650.159479166665	D
32.514	202209	Ka	0.6307	0.0643	0.0456	9.809	60650.159479166665	D
9.256	1013	X	0.5527	0.0314	0.0222	17.602	60690.13478009258	E
9.768	1417	X	0.5508	0.024	0.0169	22.95	60690.13478009258	E
10.232	1821	X	0.5649	0.0198	0.0140	28.53	60690.13478009258	E
10.744	2225	X	0.5563	0.0248	0.0175	22.431	60690.13478009258	E
8.232	25	X	0.6325	0.0321	0.0227	19.704	60690.13478009258	E
11.256	2629	X	0.5524	0.0325	0.0230	16.997	60690.13478009258	E
11.769	3033	X	0.4584	0.0424	0.0300	10.811	60690.13478009258	E
8.744	69	X	0.5379	0.039	0.0275	13.792	60690.13478009258	E
12.361	3439	Ku	0.4811	0.0314	0.0223	15.322	60690.12144675925	E
13.129	4045	Ku	0.4459	0.0246	0.0175	18.126	60690.12144675925	E
13.873	4651	Ku	0.4784	0.0283	0.0200	16.905	60690.12144675925	E
14.617	5257	Ku	0.4798	0.0299	0.0212	16.047	60690.12144675925	E
15.385	5863	Ku	0.4579	0.0264	0.0188	17.345	60690.12144675925	E
16.129	6469	Ku	0.3801	0.0289	0.0205	13.152	60690.12144675925	E
16.873	7075	Ku	0.4087	0.0389	0.0276	10.506	60690.12144675925	E
17.641	7681	Ku	0.4157	0.0365	0.0259	11.389	60690.12144675925	E
25.514	106113	K	0.2838	0.0402	0.0284	7.06	60690.10188657408	E
18.489	114121	K	0.338	0.0291	0.0206	11.615	60690.10188657408	E
19.514	122129	K	0.3516	0.0216	0.0153	16.278	60690.10188657408	E
20.490	130137	K	0.3346	0.0287	0.0203	11.659	60690.10188657408	E
21.514	138145	K	0.3038	0.0377	0.0267	8.058	60690.10188657408	E
22.490	8289	K	0.3213	0.031	0.0219	10.365	60690.10188657408	E
23.514	9097	K	0.2741	0.0345	0.0244	7.945	60690.10188657408	E
24.490	98105	K	0.2967	0.0329	0.0233	9.018	60690.10188657408	E
34.003	146161	Ka	0.2058	0.029	0.0206	7.097	60690.07579861111	E
36.004	162177	Ka	0.1795	0.0332	0.0236	5.407	60690.07579861111	E
30.003	178193	Ka	0.2362	0.0255	0.0181	9.263	60690.07579861111	E
32.003	194209	Ka	0.2471	0.028	0.0199	8.825	60690.07579861111	E
5.512	1017	C	0.3326	0.0173	0.0122	19.225	60708.02237268518	F
7.256	1825	C	0.3	0.0106	0.0075	28.302	60708.02237268518	F
7.000	2633	C	0.28	0.0195	0.0137	14.359	60708.02237268518	F
4.488	29	C	0.3447	0.0177	0.0125	19.475	60708.02237268518	F
2.243	3437	S	0.4978	0.2003	0.1415	2.485	60708.01137731481	F
2.755	3841	S	0.4149	0.0468	0.0330	8.865	60708.01137731481	F
3.243	4245	S	0.3397	0.0255	0.0180	13.322	60708.01137731481	F
3.755	4649	S	0.3739	0.0227	0.0160	16.471	60708.01137731481	F
4.999	1833	C	0.1615	0.0283	0.0200	5.707	60770.87473958332	G
6.999	3449	C	0.1519	0.0197	0.0139	7.711	60770.87473958332	G
13.548	106129	Ku	0.0885	0.012	0.0085	7.375	60770.852621527774	G
16.620	82105	Ku	0.0622	0.0148	0.0104	4.203	60770.852621527774	G
9.000	5065	X	0.1368	0.0169	0.0120	8.095	60770.864045138886	G
11.000	6681	X	0.1121	0.0194	0.0137	5.778	60770.864045138886	G
