freq	spws	flux	ferr	rms	snr	mjd
336.5	5	0.2947	0.0495	0.0350	5.954	60612.13862944443
90.5	5	1.215	0.0519	0.0367	23.41	60622.04758
336.5	5	0.3672	0.057	0.0403	6.442	60622.09038055556
90.5	5	1.3831	0.0419	0.0296	33.01	60615.089901111125
90.5	5	0.2094	0.064	0.0452	3.272	60691.88148777778
90.5	5	0.3973	0.0474	0.0335	8.382	60650.03356888889
336.5	5	0.1231	0.0574	0.0406	2.145	60650.06891388889
197.95	7	0.4699	0.0611	0.0432	7.691	60612.11853499999
338.5	7	0.324	0.0472	0.0334	6.864	60612.13862944443
92.5	7	1.1232	0.035	0.0248	32.091	60622.04758
197.95	7	0.5941	0.059	0.0417	10.069	60622.06293111111
338.5	7	0.326	0.0463	0.0328	7.041	60622.09038055556
92.5	7	1.3103	0.0455	0.0322	28.798	60615.089901111125
92.5	7	0.1106	0.058	0.0410	1.907	60691.88148777778
92.5	7	0.377	0.0413	0.0292	9.128	60650.03356888889
197.95	7	0.1127	0.0683	0.0483	1.65	60650.04797999999
338.5	7	0.0837	0.0543	0.0384	1.541	60650.06891388889
348.5	9	0.3519	0.0517	0.0365	6.807	60612.13862944443
102.5	9	1.037	0.0381	0.0270	27.218	60622.04758
348.5	9	0.3204	0.0543	0.0384	5.901	60622.09038055556
102.5	9	1.2358	0.049	0.0347	25.22	60615.089901111125
102.5	9	0.1621	0.0765	0.0541	2.119	60691.88148777778
102.5	9	0.3507	0.0615	0.0435	5.702	60650.03356888889
348.5	9	0.0949	0.0558	0.0394	1.701	60650.06891388889
350.5	11	0.2748	0.0554	0.0391	4.96	60612.13862944443
104.5	11	0.9864	0.0656	0.0464	15.037	60622.04758
350.5	11	0.3191	0.0611	0.0432	5.223	60622.09038055556
104.5	11	1.1283	0.0499	0.0353	22.611	60615.089901111125
104.5	11	0.0631	0.0642	0.0454	0.983	60691.88148777778
104.5	11	0.295	0.0471	0.0333	6.263	60650.03356888889
350.5	11	0.1554	0.0798	0.0564	1.947	60650.06891388889
195.95	16	0.5922	0.045	0.0318	13.16	60612.11853499999
195.95	16	0.4572	0.051	0.0360	8.965	60622.06293111111
195.95	16	0.1879	0.0779	0.0551	2.412	60650.04797999999
207.95	19	0.4332	0.0783	0.0554	5.533	60612.11853499999
207.95	19	0.4204	0.0821	0.0580	5.121	60622.06293111111
207.95	19	0.3361	0.0738	0.0522	4.554	60650.04797999999
209.95	21	0.501	0.0668	0.0472	7.5	60612.11853499999
209.95	21	0.4554	0.0549	0.0389	8.295	60622.06293111111
209.95	21	0.1001	0.0817	0.0578	1.225	60650.04797999999
